business_id,prob_repay,credit_score,risk_category,decision_summary
SME-001,0.8755940284342659,87,Low Risk,This business has a Low Risk score driven by strong cash flow.
SME-002,0.6108187070282658,61,Medium Risk,"This business has a Medium Risk score due to low profitability, unstable cash flow, inefficient ad spend."
SME-003,0.7682657094261784,76,Low Risk,This business shows consistent performance across all metrics.
SME-004,0.7636299481286524,76,Low Risk,This business shows consistent performance across all metrics.
SME-005,0.8018267860307334,80,Low Risk,This business shows consistent performance across all metrics.
SME-006,0.738195132718159,73,Low Risk,This business has a Low Risk score driven by efficient marketing.
SME-007,0.7720814573451706,77,Low Risk,This business has a Low Risk score driven by strong cash flow.
SME-008,0.5618716994395612,56,Medium Risk,"This business has a Medium Risk score due to high burn rate, low market presence."
SME-009,0.8782484890874309,87,Low Risk,This business has a Low Risk score driven by stable transaction volume.
SME-010,0.8535990134765483,85,Low Risk,This business has a Low Risk score driven by stable transaction volume.
SME-011,0.46893978343401216,46,High Risk,"This business has a High Risk score due to low profitability, low market presence."
SME-012,0.5004180620205347,50,Medium Risk,This business has a Medium Risk score due to low market presence.
SME-013,0.4783527857309264,47,High Risk,This business is flagged as High Risk due to a combination of moderate risk factors.
SME-014,0.21762860027629846,21,High Risk,This business has a High Risk score due to low profitability.
SME-015,0.9389305768163118,93,Low Risk,"This business has a Low Risk score driven by strong cash flow, efficient marketing."
SME-016,0.6372282659353428,63,Medium Risk,"This business has a Medium Risk score due to low profitability, low market presence."
SME-017,0.745989949318022,74,Low Risk,"This business has a Low Risk score driven by strong cash flow, efficient marketing."
SME-018,0.16519163292847502,16,High Risk,"This business has a High Risk score due to low profitability, high burn rate."
SME-019,0.8490510235593439,84,Low Risk,This business has a Low Risk score driven by stable transaction volume.
SME-020,0.8591226639546066,85,Low Risk,"This business has a Low Risk score driven by strong cash flow, efficient marketing."
SME-021,0.7926896360573507,79,Low Risk,This business has a Low Risk score driven by strong cash flow.
SME-022,0.8741827701985807,87,Low Risk,"This business has a Low Risk score driven by strong cash flow, efficient marketing."
SME-023,0.4172107787461637,41,High Risk,"This business has a High Risk score due to unstable cash flow, low market presence."
SME-024,0.7074290009524171,70,Low Risk,"This business has a Low Risk score driven by strong cash flow, stable transaction volume, efficient marketing."
SME-025,0.4325951719819474,43,High Risk,This business has a High Risk score due to low profitability.
SME-026,0.30382804291885257,30,High Risk,"This business has a High Risk score due to low profitability, low market presence."
SME-027,0.8134558232417132,81,Low Risk,"This business has a Low Risk score driven by strong cash flow, efficient marketing."
SME-028,0.9002158440516561,90,Low Risk,"This business has a Low Risk score driven by strong cash flow, stable transaction volume, efficient marketing."
SME-029,0.30543402512520157,30,High Risk,"This business has a High Risk score due to unstable cash flow, high burn rate, inefficient ad spend."
SME-030,0.337177992924165,33,High Risk,"This business has a High Risk score due to high burn rate, inefficient ad spend."
SME-031,0.3207555427029111,32,High Risk,"This business has a High Risk score due to low profitability, high burn rate, low market presence."
SME-032,0.6790466998123506,67,Medium Risk,This business has a Medium Risk score due to low market presence.
SME-033,0.7303642856279988,73,Low Risk,This business has a Low Risk score driven by strong cash flow.
SME-034,0.15126361832611834,15,High Risk,This business has a High Risk score due to low profitability.
SME-035,0.640269261637475,64,Medium Risk,This business is flagged as Medium Risk due to a combination of moderate risk factors.
SME-036,0.7782125273076275,77,Low Risk,This business has a Low Risk score driven by strong cash flow.
SME-037,0.3971000345691815,39,High Risk,"This business has a High Risk score due to low profitability, high burn rate, inefficient ad spend."
SME-038,0.6390756734149882,63,Medium Risk,"This business has a Medium Risk score due to unstable cash flow, low market presence."
SME-039,0.6905146739569298,69,Medium Risk,"This business has a Medium Risk score due to unstable cash flow, high burn rate, low market presence."
SME-040,0.8251568197883988,82,Low Risk,This business shows consistent performance across all metrics.
SME-041,0.7573383192806904,75,Low Risk,This business has a Low Risk score driven by stable transaction volume.
SME-042,0.7447160325886096,74,Low Risk,"This business has a Low Risk score driven by strong cash flow, efficient marketing."
SME-043,0.8739783448234454,87,Low Risk,"This business has a Low Risk score driven by strong cash flow, efficient marketing."
SME-044,0.9256332493592696,92,Low Risk,"This business has a Low Risk score driven by stable transaction volume, efficient marketing."
SME-045,0.9101586457316873,91,Low Risk,"This business has a Low Risk score driven by strong cash flow, efficient marketing."
SME-046,0.765932069754797,76,Low Risk,"This business has a Low Risk score driven by stable transaction volume, efficient marketing."
SME-047,0.3959768576542397,39,High Risk,"This business has a High Risk score due to high burn rate, low market presence."
